,entity_id,name,category_code,status,country_code,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,Average_inevstment_time
167961,56508,IDYIA Innovations,network_hosting,0,CAN,,,0,0,25/08/2005,25/08/2005,1,267500,,,0,0,50.0
167962,56509,Torex Retail Canada,software,0,CAN,,,0,0,26/01/2005,26/01/2005,1,60000,,,0,0,50.0
167973,5652,Socialight,mobile,1,USA,,,0,0,,,0,0,01/05/2007,01/05/2007,1,5,50.0
167979,56525,Quadrem,other,1,NLD,,,0,0,,,0,0,01/01/2007,01/01/2007,1,3,50.0
167984,5653,Hymotion,cleantech,1,CAN,,,0,0,,,0,0,,,0,0,50.0
167995,5654,Loyalty Matrix,advertising,1,USA,,,0,0,,,0,0,01/01/2003,01/01/2003,1,2,50.0
168008,56552,Integrated Materials,semiconductor,1,USA,,,0,0,29/11/2005,29/11/2005,1,8800000,,,0,1,50.0
168025,56568,Sionex,hardware,0,USA,,,0,0,07/12/2005,07/12/2005,1,12000000,01/01/2001,01/01/2001,1,2,50.0
168039,56580,Generic Media,software,0,USA,,,0,0,26/08/2005,26/08/2005,1,2500000,,,0,0,50.0
168040,56581,Globel Direct,public_relations,0,CAN,,,0,0,10/11/2005,10/11/2005,1,1490000,,,0,0,50.0
168041,56582,Comtica,software,1,POL,,,0,0,11/04/2005,11/04/2005,1,155000,,,0,0,50.0
168043,56584,Motribe,mobile,1,ZAF,,,0,0,01/01/2010,01/01/2010,1,0,01/08/2010,31/07/2012,2,2,50.0
168066,5661,PA Semi,semiconductor,1,unknown,,,0,0,01/04/2006,01/05/2009,2,86000000,01/01/2008,27/04/2010,2,4,50.0
168076,5662,Sirtris Pharmaceuticals,biotech,1,USA,,,0,0,01/01/2004,19/04/2006,4,82000000,01/01/2004,01/01/2004,1,10,50.0
168086,5663,GlaxoSmithKline,biotech,1,unknown,23/06/2009,22/11/2013,8,8,,,0,0,02/03/2009,22/11/2013,4,80,0.5
168094,56637,Chosen,ecommerce,1,USA,,,0,0,,,0,0,01/07/2008,01/07/2008,1,1,50.0
168122,56664,Ofercity,web,0,MEX,,,0,0,26/06/2010,26/06/2010,1,30000,26/06/2010,26/06/2010,1,2,50.0
168137,56678,Little Big Things,software,0,unknown,,,0,0,01/10/2010,01/10/2010,1,10000,01/08/2010,13/10/2010,2,1,50.0
168141,56681,Euronet Worldwide,ecommerce,1,USA,18/08/2011,18/08/2011,1,1,,,0,0,01/01/1999,13/09/2010,2,18,0.0
168148,56688,Probe Manufacturing,hardware,0,USA,,,0,0,01/03/2011,01/03/2011,1,1000000,14/09/2010,14/09/2010,1,2,50.0
168166,56703,viseto,ecommerce,0,unknown,,,0,0,01/08/2010,01/08/2010,1,0,15/09/2010,15/09/2010,1,1,50.0
168186,56728,CoreMatrix Systems,consulting,1,USA,,,0,0,,,0,0,,,0,0,50.0
168191,56732,Okairos,biotech,1,CHE,,,0,0,14/09/2010,14/09/2010,1,20500000,,,0,1,50.0
168211,56751,Odopod,unknown,1,USA,,,0,0,,,0,0,01/01/2010,24/05/2011,2,3,50.0
168215,56756,LandsofAmerica.com,consulting,1,USA,,,0,0,,,0,0,,,0,0,50.0
168220,56761,Tap11,software,1,USA,,,0,0,,,0,0,09/05/2011,09/05/2011,1,0,50.0
168231,56772,Thinstall inc,unknown,1,USA,,,0,0,,,0,0,01/09/2006,15/01/2008,2,2,50.0
168238,5678,Documentum,unknown,1,USA,,,0,0,,,0,0,01/01/2001,01/01/2001,1,18,50.0
168245,56788,Aegerion Pharmaceuticals,biotech,1,USA,,,0,0,11/10/2010,11/10/2010,1,1500000,01/01/2007,01/06/2011,3,5,50.0
168254,56797,Spinback,web,1,USA,,,0,0,15/08/2010,15/08/2010,1,300000,01/05/2011,01/05/2011,1,8,50.0
168257,568,TechTarget,enterprise,1,USA,,,0,0,,,0,0,02/08/2007,04/04/2012,5,10,50.0
168258,56800,InVivo Therapeutics,biotech,1,USA,,,0,0,03/12/2010,03/12/2010,1,13000000,01/10/2010,22/08/2012,2,5,50.0
168261,56803,Rexahn Pharmaceuticals,biotech,1,USA,,,0,0,13/10/2013,13/10/2013,1,5000000,,,0,2,50.0
168262,56804,Discovery Laboratories,biotech,1,USA,,,0,0,,,0,0,01/01/1993,01/01/1993,1,4,50.0
168313,56857,Jetsetter,web,1,USA,,,0,0,,,0,0,01/04/2011,09/10/2012,3,8,50.0
168314,56858,UniversityLyfe,network_hosting,0,USA,,,0,0,01/07/2008,01/07/2008,1,500000,01/01/2008,01/01/2008,1,1,50.0
168332,56877,AppVizzle,games_video,1,USA,,,0,0,,,0,0,09/09/2010,09/09/2010,1,0,50.0
168335,5688,Cyber Communications,unknown,1,JPN,01/05/2008,31/01/2013,4,4,,,0,0,01/12/2010,01/12/2010,1,0,1.25
168353,56896,Clouping,other,0,unknown,,,0,0,,,0,0,,,0,0,50.0
168354,56897,Oxonica,cleantech,1,GBR,,,0,0,05/07/2005,19/12/2007,2,22455182,,,0,1,50.0
168356,56899,Flextrip,travel,1,USA,,,0,0,01/08/2011,01/11/2011,2,350000,04/08/2011,26/09/2011,2,6,50.0
168357,569,Shopzilla,web,1,USA,,,0,0,,,0,0,22/12/2009,11/07/2013,5,41,50.0
168365,56907,iBrow.se,ecommerce,0,USA,,,0,0,,,0,0,,,0,1,50.0
168385,5693,EnterMedia,advertising,0,RUS,,,0,0,22/05/2008,22/05/2008,1,1000000,01/01/2007,01/01/2007,1,1,50.0
168396,5694,Adscape,web,1,USA,,,0,0,,,0,0,,,0,0,50.0
168401,56944,Eddingpharm (Cayman),biotech,0,HKG,,,0,0,17/09/2010,17/09/2010,1,24000000,,,0,1,50.0
168402,56945,Sabirmedical,biotech,0,ESP,,,0,0,16/09/2010,16/09/2010,1,6539000,,,0,0,50.0
168406,5695,Massive,software,1,unknown,,,0,0,01/07/2004,19/01/2005,2,10000000,01/01/2009,21/02/2012,2,15,50.0
168415,5696,CoverItLive,web,1,USA,,,0,0,29/01/2009,29/01/2009,1,1000000,17/08/2008,14/01/2012,2,1,50.0
168444,56989,Qwiki,photo_video,1,USA,,,0,0,10/07/2010,31/03/2011,3,10500000,01/03/2009,02/07/2013,3,14,50.0
168456,570,E.W. Scripps,web,1,USA,08/11/2010,08/11/2010,1,1,,,0,0,,,0,3,0.0
168457,5700,Prolexic Technologies,enterprise,1,USA,,,0,0,28/03/2011,25/07/2013,3,51900000,01/01/2003,02/12/2013,2,8,50.0
168460,57002,MileWise,travel,1,USA,,,0,0,14/01/2011,14/01/2011,1,1500000,01/06/2012,09/05/2013,2,6,50.0
168496,5704,RabbleDabble,other,0,USA,,,0,0,,,0,0,,,0,0,50.0
168507,57050,Agoura Technologies,hardware,0,USA,,,0,0,13/09/2005,13/09/2005,1,1000000,,,0,1,50.0
168508,57051,Starport Systems,hardware,0,USA,,,0,0,26/10/2005,26/10/2005,1,1000000,,,0,0,50.0
168516,5706,GigPark,network_hosting,1,CAN,,,0,0,01/01/2007,01/01/2007,1,200000,01/03/2007,24/08/2009,2,3,50.0
168517,57060,Rue La La,fashion,1,USA,,,0,0,20/01/2012,20/01/2012,1,22000000,01/01/2012,19/03/2013,3,24,50.0
168534,57078,Epsilen,unknown,1,unknown,,,0,0,,,0,0,01/01/2008,01/01/2008,1,2,50.0
168545,57088,Academy123,unknown,1,USA,,,0,0,,,0,0,01/04/2005,01/04/2005,1,9,50.0
168557,571,Shopping.com,web,1,USA,,,0,0,,,0,0,,,0,42,50.0
168563,57105,Usee,public_relations,1,unknown,,,0,0,,,0,0,20/09/2010,20/09/2010,1,0,50.0
168567,5711,J2Play,unknown,1,CAN,,,0,0,,,0,0,01/04/2007,13/02/2010,3,2,50.0
168572,57114,SeniorChecked,web,1,USA,,,0,0,,,0,0,01/04/2010,01/08/2011,2,5,50.0
